LocationID,Borough,Zone,service_zone,centroid_lat,centroid_lon
221,Staten Island,Stapleton,Unknown,40.61876927873207,-74.07370444530252
222,Brooklyn,Starrett City,Unknown,40.64752703432357,-73.88241292571809
223,Queens,Steinway,Unknown,40.77742692053278,-73.90540773409828
224,Manhattan,Stuy Town/Peter Cooper Village,Unknown,40.73182063601676,-73.97659767323343
225,Brooklyn,Stuyvesant Heights,Unknown,40.688168186954954,-73.93188826440709
226,Queens,Sunnyside,Unknown,40.73769895644442,-73.92467306585047
227,Brooklyn,Sunset Park East,Unknown,40.64188631576522,-74.00465205914723
228,Brooklyn,Sunset Park West,Unknown,40.65235464953841,-74.01127116962884
229,Manhattan,Sutton Place/Turtle Bay North,Unknown,40.75672894163307,-73.96514579918421
230,Manhattan,Times Sq/Theatre District,Unknown,40.75981761719185,-73.9841964890757
231,Manhattan,TriBeCa/Civic Center,Unknown,40.717772736265175,-74.00787970866403
232,Manhattan,Two Bridges/Seward Park,Unknown,40.7147325069394,-73.98302455833488
233,Manhattan,UN/Turtle Bay South,Unknown,40.74991407790216,-73.97044256869236
234,Manhattan,Union Sq,Unknown,40.74033744175701,-73.99045782354732
235,Bronx,University Heights/Morris Heights,Unknown,40.8525211492635,-73.91597542466435
236,Manhattan,Upper East Side North,Unknown,40.78043643718997,-73.95701169835739
237,Manhattan,Upper East Side South,Unknown,40.76861518381155,-73.96563453538072
238,Manhattan,Upper West Side North,Unknown,40.79170493442709,-73.97304890061595
239,Manhattan,Upper West Side South,Unknown,40.783961430313774,-73.97863194845081
240,Bronx,Van Cortlandt Park,Unknown,40.894599127507,-73.88197807761944
241,Bronx,Van Cortlandt Village,Unknown,40.876512375445536,-73.89562001785477
242,Bronx,Van Nest/Morris Park,Unknown,40.8467828958098,-73.85067057708342
243,Manhattan,Washington Heights North,Unknown,40.85710828331443,-73.93283148761297
244,Manhattan,Washington Heights South,Unknown,40.84170877111978,-73.94139910573641
245,Staten Island,West Brighton,Unknown,40.630049391830696,-74.10286011016638
246,Manhattan,West Chelsea/Hudson Yards,Unknown,40.75330906598335,-74.00401512528649
247,Bronx,West Concourse,Unknown,40.828988230484576,-73.92440873264252
248,Bronx,West Farms/Bronx River,Unknown,40.83416531682759,-73.87228927297001
249,Manhattan,West Village,Unknown,40.73457600733177,-74.00287495910837
250,Bronx,Westchester Village/Unionport,Unknown,40.83210165963213,-73.84864070062379
251,Staten Island,Westerleigh,Unknown,40.61688000771182,-74.12534779829359
252,Queens,Whitestone,Unknown,40.78819301672865,-73.81565681271003
253,Queens,Willets Point,Unknown,40.76063075217261,-73.84124393899134
254,Bronx,Williamsbridge/Olinville,Unknown,40.88215708304705,-73.8589482397575
255,Brooklyn,Williamsburg (North Side),Unknown,40.718803918129915,-73.95741813122189
256,Brooklyn,Williamsburg (South Side),Unknown,40.710879933377385,-73.95990462730532
257,Brooklyn,Windsor Terrace,Unknown,40.65361187133663,-73.97798241330011
258,Queens,Woodhaven,Unknown,40.68872135698129,-73.85576675985418
259,Bronx,Woodlawn/Wakefield,Unknown,40.897932025294686,-73.8522154537012
260,Queens,Woodside,Unknown,40.74423471780148,-73.9063064419788
261,Manhattan,World Trade Center,Unknown,40.70913894067186,-74.01302277174902
262,Manhattan,Yorkville East,Unknown,40.77593240314994,-73.94651035601464
263,Manhattan,Yorkville West,Unknown,40.77876585543437,-73.951009874818
